method,split,start,last_sample,end_exclusive_estimated,n_samples,estimated_minutes,dominant_increase_metric,max_score,rtt_ms,jitter_ms,loss_rate,dns_latency_ms,http_latency_ms
baseline,test,2026-09-07 11:42:30+07:00,2026-09-07 12:09:30+07:00,2026-09-07 12:10:00+07:00,55,27.5,http_latency_ms,0.5532112067805349,103.16972909090907,11.109409090909091,0.05318181818181818,109.06858545454544,1134.1511581818183
baseline,test,2026-09-07 20:05:00+07:00,2026-09-07 22:00:00+07:00,2026-09-07 22:00:30+07:00,231,115.5,http_latency_ms,0.6675194432828416,141.09334285714286,17.19105887445887,0.11796536796536798,149.23038441558444,1480.4962606060606
isolation_forest,train,2026-08-19 23:22:00+07:00,2026-08-19 23:34:30+07:00,2026-08-19 23:35:00+07:00,26,13.0,jitter_ms,0.6982734546705991,105.48365384615384,46.05511923076923,0.0,170.79844999999997,1562.9397730769233
isolation_forest,train,2026-08-19 23:38:30+07:00,2026-08-19 23:42:30+07:00,2026-08-19 23:43:00+07:00,9,4.5,jitter_ms,0.6140898025542704,106.83333333333333,58.255633333333336,0.0,107.71477777777778,829.0815666666666
isolation_forest,train,2026-08-20 00:00:00+07:00,2026-08-20 00:09:30+07:00,2026-08-20 00:10:00+07:00,20,10.0,jitter_ms,0.6354888576042804,91.9025,57.32828000000001,0.0,105.92004499999999,810.5267200000001
isolation_forest,train,2026-08-20 00:12:00+07:00,2026-08-20 00:37:00+07:00,2026-08-20 00:37:30+07:00,51,25.5,jitter_ms,0.6271503610291868,93.16372549019607,37.892825490196074,0.0,97.5513,755.4340215686275
isolation_forest,train,2026-08-20 00:43:00+07:00,2026-08-20 00:56:30+07:00,2026-08-20 00:57:00+07:00,28,14.0,jitter_ms,0.6355044605126241,100.16785714285717,47.84040714285714,0.0,101.38392499999998,805.9892892857143
isolation_forest,train,2026-08-20 03:01:00+07:00,2026-08-20 03:18:30+07:00,2026-08-20 03:19:00+07:00,36,18.0,jitter_ms,0.6987006384957645,109.35213569223986,53.989833024691364,0.0,150.00392483465606,1062.0436384479717
isolation_forest,train,2026-08-22 08:57:00+07:00,2026-08-22 09:02:00+07:00,2026-08-22 09:02:30+07:00,11,5.5,http_latency_ms,0.6918063667754664,85.3113909090909,27.295900000000003,0.0,87.88610909090909,2560.152463636364
isolation_forest,train,2026-08-22 09:03:00+07:00,2026-08-22 09:10:30+07:00,2026-08-22 09:11:00+07:00,16,8.0,http_latency_ms,0.7125747748516629,114.3875,49.3312875,0.0,106.49253125,3658.2468249999997
isolation_forest,train,2026-08-22 09:21:30+07:00,2026-08-22 09:26:30+07:00,2026-08-22 09:27:00+07:00,11,5.5,http_latency_ms,0.6609357251557624,51.74037272727273,2.356981818181818,0.0,49.38761818181819,7834.257099999997
isolation_forest,train,2026-08-22 09:27:30+07:00,2026-08-22 09:37:00+07:00,2026-08-22 09:37:30+07:00,20,10.0,jitter_ms,0.774859899521032,123.89125000000001,102.64667999999999,0.0,54.80711500000001,2865.4155549999987
isolation_forest,train,2026-08-22 11:07:30+07:00,2026-08-22 11:23:30+07:00,2026-08-22 11:24:00+07:00,33,16.5,http_latency_ms,0.7621653515845238,144.65571515151515,76.06268181818182,0.008333333333333333,111.69570909090908,4999.528709090908
isolation_forest,train,2026-08-22 21:04:30+07:00,2026-08-22 21:22:00+07:00,2026-08-22 21:22:30+07:00,36,18.0,http_latency_ms,0.6599260423116684,171.24062777777783,24.141138888888882,0.18680555555555556,183.47255277777776,1834.5281388888875
isolation_forest,train,2026-08-22 21:27:30+07:00,2026-08-22 21:28:30+07:00,2026-08-22 21:29:00+07:00,3,1.5,http_latency_ms,0.6082184700356585,164.1532,18.76283333333333,0.05000000000000001,175.08603333333335,1766.2293999999983
isolation_forest,train,2026-08-22 21:32:00+07:00,2026-08-22 21:33:00+07:00,2026-08-22 21:33:30+07:00,3,1.5,http_latency_ms,0.6072374659214018,161.30223333333333,19.197299999999995,0.17499999999999996,170.2639,1698.2894333333318
